Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Relative Humidity [%](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Direction [deg](Hourly),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),SPACE1-1:Zone People Occupant Count [](Hourly),SPACE2-1:Zone People Occupant Count [](Hourly),SPACE3-1:Zone People Occupant Count [](Hourly),SPACE4-1:Zone People Occupant Count [](Hourly),SPACE5-1:Zone People Occupant Count [](Hourly),SPACE1-1:Zone Lights Total Heating Energy [J](Hourly),SPACE2-1:Zone Lights Total Heating Energy [J](Hourly),SPACE3-1:Zone Lights Total Heating Energy [J](Hourly),SPACE4-1:Zone Lights Total Heating Energy [J](Hourly),SPACE5-1:Zone Lights Total Heating Energy [J](Hourly),PLENUM-1:Zone Air Temperature [C](Hourly),SPACE1-1:Zone Air Temperature [C](Hourly),SPACE2-1:Zone Air Temperature [C](Hourly),SPACE3-1:Zone Air Temperature [C](Hourly),SPACE4-1:Zone Air Temperature [C](Hourly),SPACE5-1:Zone Air Temperature [C](Hourly),SPACE1-1 BASEBOARD:Baseboard Total Heating Rate [W](Hourly),SPACE3-1 BASEBOARD:Baseboard Total Heating Rate [W](Hourly) 
 01/18  07:00:00,7.2,86.,6.075,193.75,0.0,0.0,0.0,0.0,0.0,0.0,285120.,123120.,285120.,123120.,533520.,17.0141800334611,17.9430119120872,17.2369879623997,17.9601395955341,17.2274163112715,18.851083330601,0.0,0.0 
 01/18  08:00:00,6.8875,86.,6.0125,215.,2.25,0.0,0.0,0.0,0.0,0.0,285120.,123120.,285120.,123120.,533520.,18.1297365892708,21.6385552872113,21.8906101299035,21.6390627865207,21.8967028971122,21.5676434674316,3675.87315631554,3551.99257182749 
 01/18  09:00:00,6.7,80.375,6.825,236.25,30.0625,11.,5.,11.,5.,20.,5132160.,2216160.,5132160.,2216160.,9603360.,19.0095024171388,22.0676069834636,22.0022661331223,22.0611054237263,22.0024840118442,21.8319426987754,1435.19713356201,1263.21644275409 
 01/18  10:00:00,6.325,75.125,6.575,240.,138.375,11.,5.,11.,5.,20.,5417280.,2339280.,5417280.,2339280.,10136880.,19.5934834384495,22.0009447351446,21.6568104291044,22.0010427610865,21.9220080676769,22.7191742491566,547.538354085121,400.547526760129 
 01/18  11:00:00,5.7875,73.375,7.1375,240.,242.3125,11.,5.,11.,5.,20.,5702400.,2462400.,5702400.,2462400.,10670400.,20.1641651493172,22.0008351583982,21.518404195485,22.0008646737786,21.7507022463859,23.2604683253765,182.316216327137,180.522788046741 
 01/18  12:00:00,5.225,74.875,7.3875,240.,237.6875,8.8,4.,8.8,4.,16.,5417280.,2339280.,5417280.,2339280.,10136880.,20.6174721222665,22.0006262508923,21.5538604933766,22.000594818626,21.7187282185845,23.1579873489913,185.511503389835,335.576074527166 
 01/18  13:00:00,4.625,77.875,6.575,246.25,25.75,4.4,2.,4.4,2.,8.,4561920.,1969920.,4561920.,1969920.,8536320.,20.8601418150028,22.0111287758998,21.7740308632713,22.0090893726423,21.9989531847814,22.523306846641,868.692347424172,834.477321283093 
 01/18  14:00:00,3.7125,79.,6.825,256.25,6.125,8.8,4.,8.8,4.,16.,5132160.,2216160.,5132160.,2216160.,9603360.,20.9380030611899,22.0000686178171,21.7384953277305,22.0001465400887,22.0009195760854,22.6978028571629,784.72891296474,659.766923825624 
 01/18  15:00:00,2.9875,80.875,6.2625,260.,2.5,11.,5.,11.,5.,20.,5702400.,2462400.,5702400.,2462400.,10670400.,20.9081548968644,22.0000646633008,21.7443667955846,22.0001132743246,21.6942023477838,22.907505350895,838.987701459457,692.162913211031 
 01/18  16:00:00,2.425,82.,6.0125,260.,2.375,11.,5.,11.,5.,20.,5702400.,2462400.,5702400.,2462400.,10670400.,20.8055005006647,22.0545311932623,21.9768339062725,22.0473289927466,21.9725519507123,22.7950847738852,1203.56227230226,1034.39520647885 
 01/18  17:00:00,1.8875,83.875,6.5125,266.25,0.1875,11.,5.,11.,5.,20.,5702400.,2462400.,5702400.,2462400.,10670400.,20.6332092970245,22.0741866395275,22.0038023255968,22.0680992198126,22.0038534392369,22.3953116070753,1578.64915199292,1419.53456382417 
 01/18  18:00:00,1.7,85.,6.075,276.25,0.0,11.,5.,11.,5.,20.,5702400.,2462400.,5702400.,2462400.,10670400.,20.4105702593814,22.0790820152869,22.0039810844872,22.0726315195291,22.0040214358841,22.2038213121732,1675.78219680394,1521.26471007504 
 01/18  19:00:00,1.7,85.,4.3875,280.,0.0,5.5,2.5,5.5,2.5,10.,3421440.,1477440.,3421440.,1477440.,6402240.,19.9771459100152,20.8641966823468,20.3069113739166,20.9300051690606,20.2700115300396,22.2657642664541,0.0,0.0 
 01/18  20:00:00,1.7,85.,3.2875,286.25,0.0,1.1,0.5,1.1,0.5,2.,1140480.,492480.,1140480.,492480.,2134080.,19.2989670012245,19.5039099743515,18.907041876712,19.5759508944259,18.8759088704962,21.172483018744,0.0,0.0 
 01/18  21:00:00,1.7,85.,2.7875,290.,0.0,1.1,0.5,1.1,0.5,2.,1140480.,492480.,1140480.,492480.,2134080.,18.6283481932819,18.7871801776404,18.1381955684731,18.8428889212455,18.1163015387339,20.1922332129408,0.0,0.0 
 01/18  22:00:00,1.7,85.,2.9125,296.25,0.0,0.0,0.0,0.0,0.0,0.0,285120.,123120.,285120.,123120.,533520.,18.0414776273868,18.2405749599612,17.5324752519248,18.2847492227656,17.51903668627,19.5730320428224,0.0,0.0 
 01/18  23:00:00,1.7,85.,3.4125,306.25,0.0,0.0,0.0,0.0,0.0,0.0,285120.,123120.,285120.,123120.,533520.,17.5380923699046,17.9493439240871,17.2244701586467,17.987041092709,17.2167470131716,19.2461501401236,0.0,0.0 
 01/18  24:00:00,1.7,85.,5.225,341.25,0.0,0.0,0.0,0.0,0.0,0.0,285120.,123120.,285120.,123120.,533520.,17.1481051062247,17.7509676100009,17.0233889509896,17.7853406568739,17.0195554614944,19.0283398859821,0.0,0.0 
